date_time,brawler_name,result,current_trophies,trophy_delta,new_winstreak,playstyle_hash,playstyle_name,playstyle_gamemodes,playstyle_brawlers,pyla_version,power_level
2026-09-09T22:17:58.814327,bea,defeat,524,,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:22:00.649807,bea,draw,524,,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:24:33.504786,bea,victory,524,,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:27:01.219927,bea,victory,524,,2,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:29:37.297799,bea,victory,524,,3,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:30:53.423183,bea,defeat,524,,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:32:16.328210,bea,defeat,524,,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:34:08.538132,bea,victory,524,,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:36:37.304074,bea,victory,524,,2,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:38:36.324854,bea,draw,524,,2,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:41:40.496066,bea,victory,524,,3,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:44:02.923951,bea,victory,524,,4,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:45:48.248765,bea,victory,524,,5,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:47:05.963379,bea,draw,524,,5,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:49:44.243951,bea,victory,524,,6,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:52:17.148416,bea,victory,524,,7,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:53:48.386221,bea,defeat,524,,0,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
2026-09-09T22:55:18.314954,bea,victory,524,,1,f5da7256b07f5b01f7497e9506944334a116189821bd5a0fb8b6f7420e8eae33,Showdown Survivor,trio showdown,all,0.8.15,-1
